n,bs,bls,c,k,a
5,"(2, 2)","(1, 1)","(1, 1)",4,7.7
5,"(2, 2)","(1, 1)","(1, 1)",7,7.7
5,"(2, 2)","(1, 1)","(1, 1)",10,7.2
5,"(2, 2)","(1, 1)","(1, 1)",14,7.5
5,"(2, 2)","(1, 1)","(1, 1)",18,7.4
5,"(2, 2)","(1, 1)","(1, 1)",25,7.5
5,"(2, 2)","(1, 1)","(2, 2)",4,9.9
5,"(2, 2)","(1, 1)","(2, 2)",7,10.5
5,"(2, 2)","(1, 1)","(2, 2)",10,10.7
5,"(2, 2)","(1, 1)","(2, 2)",14,11.4
5,"(2, 2)","(1, 1)","(2, 2)",18,11.3
5,"(2, 2)","(1, 1)","(2, 2)",25,10.7
5,"(2, 2)","(2, 2)","(1, 1)",4,7.2
5,"(2, 2)","(2, 2)","(1, 1)",7,7.6
5,"(2, 2)","(2, 2)","(1, 1)",10,7.2
5,"(2, 2)","(2, 2)","(1, 1)",14,7.9
5,"(2, 2)","(2, 2)","(1, 1)",18,7.7
5,"(2, 2)","(2, 2)","(1, 1)",25,7.0
5,"(2, 2)","(2, 2)","(2, 2)",4,8.6
5,"(2, 2)","(2, 2)","(2, 2)",7,9.0
5,"(2, 2)","(2, 2)","(2, 2)",10,8.9
5,"(2, 2)","(2, 2)","(2, 2)",14,9.3
5,"(2, 2)","(2, 2)","(2, 2)",18,9.1
5,"(2, 2)","(2, 2)","(2, 2)",25,8.5
5,"(4, 4)","(1, 1)","(1, 1)",4,9.7
5,"(4, 4)","(1, 1)","(1, 1)",7,9.2
5,"(4, 4)","(1, 1)","(1, 1)",10,8.5
5,"(4, 4)","(1, 1)","(1, 1)",14,8.4
5,"(4, 4)","(1, 1)","(1, 1)",18,8.3
5,"(4, 4)","(1, 1)","(1, 1)",25,7.9
5,"(4, 4)","(1, 1)","(2, 2)",4,9.9
5,"(4, 4)","(1, 1)","(2, 2)",7,9.6
5,"(4, 4)","(1, 1)","(2, 2)",10,10.1
5,"(4, 4)","(1, 1)","(2, 2)",14,10.4
5,"(4, 4)","(1, 1)","(2, 2)",18,10.4
5,"(4, 4)","(1, 1)","(2, 2)",25,10.4
5,"(4, 4)","(1, 1)","(4, 4)",4,6.9
5,"(4, 4)","(1, 1)","(4, 4)",7,7.8
5,"(4, 4)","(1, 1)","(4, 4)",10,7.0
5,"(4, 4)","(1, 1)","(4, 4)",14,6.5
5,"(4, 4)","(1, 1)","(4, 4)",18,7.0
5,"(4, 4)","(1, 1)","(4, 4)",25,6.5
5,"(4, 4)","(2, 2)","(1, 1)",4,8.7
5,"(4, 4)","(2, 2)","(1, 1)",7,8.7
5,"(4, 4)","(2, 2)","(1, 1)",10,8.0
5,"(4, 4)","(2, 2)","(1, 1)",14,8.4
5,"(4, 4)","(2, 2)","(1, 1)",18,7.9
5,"(4, 4)","(2, 2)","(1, 1)",25,7.8
5,"(4, 4)","(2, 2)","(2, 2)",4,9.7
5,"(4, 4)","(2, 2)","(2, 2)",7,9.4
5,"(4, 4)","(2, 2)","(2, 2)",10,9.9
5,"(4, 4)","(2, 2)","(2, 2)",14,9.9
5,"(4, 4)","(2, 2)","(2, 2)",18,9.9
5,"(4, 4)","(2, 2)","(2, 2)",25,10.2
5,"(4, 4)","(2, 2)","(4, 4)",4,7.5
5,"(4, 4)","(2, 2)","(4, 4)",7,7.0
5,"(4, 4)","(2, 2)","(4, 4)",10,7.1
5,"(4, 4)","(2, 2)","(4, 4)",14,6.5
5,"(4, 4)","(2, 2)","(4, 4)",18,6.6
5,"(4, 4)","(2, 2)","(4, 4)",25,6.2
5,"(4, 4)","(4, 4)","(1, 1)",4,7.7
5,"(4, 4)","(4, 4)","(1, 1)",7,8.4
5,"(4, 4)","(4, 4)","(1, 1)",10,7.9
5,"(4, 4)","(4, 4)","(1, 1)",14,7.3
5,"(4, 4)","(4, 4)","(1, 1)",18,7.2
5,"(4, 4)","(4, 4)","(1, 1)",25,7.5
5,"(4, 4)","(4, 4)","(2, 2)",4,8.3
5,"(4, 4)","(4, 4)","(2, 2)",7,9.3
5,"(4, 4)","(4, 4)","(2, 2)",10,9.5
5,"(4, 4)","(4, 4)","(2, 2)",14,9.2
5,"(4, 4)","(4, 4)","(2, 2)",18,9.7
5,"(4, 4)","(4, 4)","(2, 2)",25,9.4
5,"(4, 4)","(4, 4)","(4, 4)",4,6.1
5,"(4, 4)","(4, 4)","(4, 4)",7,6.0
5,"(4, 4)","(4, 4)","(4, 4)",10,6.3
5,"(4, 4)","(4, 4)","(4, 4)",14,6.2
5,"(4, 4)","(4, 4)","(4, 4)",18,6.6
5,"(4, 4)","(4, 4)","(4, 4)",25,6.3
5,"(8, 8)","(1, 1)","(1, 1)",4,8.9
5,"(8, 8)","(1, 1)","(1, 1)",7,10.2
5,"(8, 8)","(1, 1)","(1, 1)",10,11.0
5,"(8, 8)","(1, 1)","(1, 1)",14,10.8
5,"(8, 8)","(1, 1)","(1, 1)",18,10.2
5,"(8, 8)","(1, 1)","(1, 1)",25,9.7
5,"(8, 8)","(1, 1)","(2, 2)",4,11.8
5,"(8, 8)","(1, 1)","(2, 2)",7,12.2
5,"(8, 8)","(1, 1)","(2, 2)",10,13.1
5,"(8, 8)","(1, 1)","(2, 2)",14,12.7
5,"(8, 8)","(1, 1)","(2, 2)",18,12.9
5,"(8, 8)","(1, 1)","(2, 2)",25,11.6
5,"(8, 8)","(1, 1)","(4, 4)",4,10.2
5,"(8, 8)","(1, 1)","(4, 4)",7,10.5
5,"(8, 8)","(1, 1)","(4, 4)",10,10.4
5,"(8, 8)","(1, 1)","(4, 4)",14,9.9
5,"(8, 8)","(1, 1)","(4, 4)",18,10.1
5,"(8, 8)","(1, 1)","(4, 4)",25,9.3
5,"(8, 8)","(1, 1)","(8, 8)",4,9.3
5,"(8, 8)","(1, 1)","(8, 8)",7,8.1
5,"(8, 8)","(1, 1)","(8, 8)",10,7.3
5,"(8, 8)","(1, 1)","(8, 8)",14,7.6
5,"(8, 8)","(1, 1)","(8, 8)",18,7.7
5,"(8, 8)","(1, 1)","(8, 8)",25,7.4
5,"(8, 8)","(2, 2)","(1, 1)",4,9.2
5,"(8, 8)","(2, 2)","(1, 1)",7,10.1
5,"(8, 8)","(2, 2)","(1, 1)",10,10.5
5,"(8, 8)","(2, 2)","(1, 1)",14,10.3
5,"(8, 8)","(2, 2)","(1, 1)",18,9.8
5,"(8, 8)","(2, 2)","(1, 1)",25,9.2
5,"(8, 8)","(2, 2)","(2, 2)",4,12.3
5,"(8, 8)","(2, 2)","(2, 2)",7,11.7
5,"(8, 8)","(2, 2)","(2, 2)",10,12.7
5,"(8, 8)","(2, 2)","(2, 2)",14,13.4
5,"(8, 8)","(2, 2)","(2, 2)",18,12.5
5,"(8, 8)","(2, 2)","(2, 2)",25,11.7
5,"(8, 8)","(2, 2)","(4, 4)",4,10.3
5,"(8, 8)","(2, 2)","(4, 4)",7,10.1
5,"(8, 8)","(2, 2)","(4, 4)",10,10.7
5,"(8, 8)","(2, 2)","(4, 4)",14,9.8
5,"(8, 8)","(2, 2)","(4, 4)",18,9.1
5,"(8, 8)","(2, 2)","(4, 4)",25,8.9
5,"(8, 8)","(2, 2)","(8, 8)",4,8.6
5,"(8, 8)","(2, 2)","(8, 8)",7,7.7
5,"(8, 8)","(2, 2)","(8, 8)",10,7.4
5,"(8, 8)","(2, 2)","(8, 8)",14,7.0
5,"(8, 8)","(2, 2)","(8, 8)",18,7.7
5,"(8, 8)","(2, 2)","(8, 8)",25,7.1
5,"(8, 8)","(4, 4)","(1, 1)",4,9.2
5,"(8, 8)","(4, 4)","(1, 1)",7,9.8
5,"(8, 8)","(4, 4)","(1, 1)",10,9.0
5,"(8, 8)","(4, 4)","(1, 1)",14,9.9
5,"(8, 8)","(4, 4)","(1, 1)",18,9.0
5,"(8, 8)","(4, 4)","(1, 1)",25,9.7
5,"(8, 8)","(4, 4)","(2, 2)",4,11.3
5,"(8, 8)","(4, 4)","(2, 2)",7,11.7
5,"(8, 8)","(4, 4)","(2, 2)",10,11.5
5,"(8, 8)","(4, 4)","(2, 2)",14,11.9
5,"(8, 8)","(4, 4)","(2, 2)",18,11.7
5,"(8, 8)","(4, 4)","(2, 2)",25,11.9
5,"(8, 8)","(4, 4)","(4, 4)",4,9.2
5,"(8, 8)","(4, 4)","(4, 4)",7,10.4
5,"(8, 8)","(4, 4)","(4, 4)",10,9.8
5,"(8, 8)","(4, 4)","(4, 4)",14,10.3
5,"(8, 8)","(4, 4)","(4, 4)",18,9.7
5,"(8, 8)","(4, 4)","(4, 4)",25,9.9
5,"(8, 8)","(4, 4)","(8, 8)",4,8.8
5,"(8, 8)","(4, 4)","(8, 8)",7,9.1
5,"(8, 8)","(4, 4)","(8, 8)",10,9.2
5,"(8, 8)","(4, 4)","(8, 8)",14,8.3
5,"(8, 8)","(4, 4)","(8, 8)",18,7.8
5,"(8, 8)","(4, 4)","(8, 8)",25,8.3
5,"(8, 8)","(8, 8)","(1, 1)",4,8.8
5,"(8, 8)","(8, 8)","(1, 1)",7,8.1
5,"(8, 8)","(8, 8)","(1, 1)",10,8.2
5,"(8, 8)","(8, 8)","(1, 1)",14,8.9
5,"(8, 8)","(8, 8)","(1, 1)",18,8.6
5,"(8, 8)","(8, 8)","(1, 1)",25,7.8
5,"(8, 8)","(8, 8)","(2, 2)",4,9.8
5,"(8, 8)","(8, 8)","(2, 2)",7,10.0
5,"(8, 8)","(8, 8)","(2, 2)",10,10.1
5,"(8, 8)","(8, 8)","(2, 2)",14,10.2
5,"(8, 8)","(8, 8)","(2, 2)",18,10.7
5,"(8, 8)","(8, 8)","(2, 2)",25,9.4
5,"(8, 8)","(8, 8)","(4, 4)",4,8.2
5,"(8, 8)","(8, 8)","(4, 4)",7,8.9
5,"(8, 8)","(8, 8)","(4, 4)",10,8.6
5,"(8, 8)","(8, 8)","(4, 4)",14,8.0
5,"(8, 8)","(8, 8)","(4, 4)",18,8.5
5,"(8, 8)","(8, 8)","(4, 4)",25,8.8
5,"(8, 8)","(8, 8)","(8, 8)",4,6.1
5,"(8, 8)","(8, 8)","(8, 8)",7,6.1
5,"(8, 8)","(8, 8)","(8, 8)",10,6.2
5,"(8, 8)","(8, 8)","(8, 8)",14,6.4
5,"(8, 8)","(8, 8)","(8, 8)",18,6.7
5,"(8, 8)","(8, 8)","(8, 8)",25,7.3
7,"(2, 2)","(1, 1)","(1, 1)",4,6.0
7,"(2, 2)","(1, 1)","(1, 1)",7,6.4
7,"(2, 2)","(1, 1)","(1, 1)",10,7.0
7,"(2, 2)","(1, 1)","(1, 1)",14,6.9
7,"(2, 2)","(1, 1)","(1, 1)",18,7.1
7,"(2, 2)","(1, 1)","(1, 1)",25,7.2
7,"(2, 2)","(1, 1)","(2, 2)",4,10.5
7,"(2, 2)","(1, 1)","(2, 2)",7,11.0
7,"(2, 2)","(1, 1)","(2, 2)",10,11.2
7,"(2, 2)","(1, 1)","(2, 2)",14,10.9
7,"(2, 2)","(1, 1)","(2, 2)",18,11.8
7,"(2, 2)","(1, 1)","(2, 2)",25,12.0
7,"(2, 2)","(2, 2)","(1, 1)",4,5.5
7,"(2, 2)","(2, 2)","(1, 1)",7,6.2
7,"(2, 2)","(2, 2)","(1, 1)",10,6.4
7,"(2, 2)","(2, 2)","(1, 1)",14,6.6
7,"(2, 2)","(2, 2)","(1, 1)",18,7.0
7,"(2, 2)","(2, 2)","(1, 1)",25,6.7
7,"(2, 2)","(2, 2)","(2, 2)",4,8.9
7,"(2, 2)","(2, 2)","(2, 2)",7,9.3
7,"(2, 2)","(2, 2)","(2, 2)",10,9.1
7,"(2, 2)","(2, 2)","(2, 2)",14,9.4
7,"(2, 2)","(2, 2)","(2, 2)",18,9.9
7,"(2, 2)","(2, 2)","(2, 2)",25,9.0
7,"(4, 4)","(1, 1)","(1, 1)",4,7.9
7,"(4, 4)","(1, 1)","(1, 1)",7,8.6
7,"(4, 4)","(1, 1)","(1, 1)",10,8.8
7,"(4, 4)","(1, 1)","(1, 1)",14,8.7
7,"(4, 4)","(1, 1)","(1, 1)",18,8.5
7,"(4, 4)","(1, 1)","(1, 1)",25,7.7
7,"(4, 4)","(1, 1)","(2, 2)",4,11.2
7,"(4, 4)","(1, 1)","(2, 2)",7,10.8
7,"(4, 4)","(1, 1)","(2, 2)",10,11.6
7,"(4, 4)","(1, 1)","(2, 2)",14,11.3
7,"(4, 4)","(1, 1)","(2, 2)",18,11.4
7,"(4, 4)","(1, 1)","(2, 2)",25,11.9
7,"(4, 4)","(1, 1)","(4, 4)",4,8.5
7,"(4, 4)","(1, 1)","(4, 4)",7,9.1
7,"(4, 4)","(1, 1)","(4, 4)",10,8.2
7,"(4, 4)","(1, 1)","(4, 4)",14,8.1
7,"(4, 4)","(1, 1)","(4, 4)",18,7.5
7,"(4, 4)","(1, 1)","(4, 4)",25,7.1
7,"(4, 4)","(2, 2)","(1, 1)",4,7.9
7,"(4, 4)","(2, 2)","(1, 1)",7,7.5
7,"(4, 4)","(2, 2)","(1, 1)",10,8.6
7,"(4, 4)","(2, 2)","(1, 1)",14,8.5
7,"(4, 4)","(2, 2)","(1, 1)",18,8.0
7,"(4, 4)","(2, 2)","(1, 1)",25,7.3
7,"(4, 4)","(2, 2)","(2, 2)",4,10.9
7,"(4, 4)","(2, 2)","(2, 2)",7,10.5
7,"(4, 4)","(2, 2)","(2, 2)",10,11.2
7,"(4, 4)","(2, 2)","(2, 2)",14,10.9
7,"(4, 4)","(2, 2)","(2, 2)",18,10.7
7,"(4, 4)","(2, 2)","(2, 2)",25,11.0
7,"(4, 4)","(2, 2)","(4, 4)",4,8.8
7,"(4, 4)","(2, 2)","(4, 4)",7,8.9
7,"(4, 4)","(2, 2)","(4, 4)",10,8.3
7,"(4, 4)","(2, 2)","(4, 4)",14,7.6
7,"(4, 4)","(2, 2)","(4, 4)",18,7.7
7,"(4, 4)","(2, 2)","(4, 4)",25,7.1
7,"(4, 4)","(4, 4)","(1, 1)",4,7.5
7,"(4, 4)","(4, 4)","(1, 1)",7,8.1
7,"(4, 4)","(4, 4)","(1, 1)",10,7.8
7,"(4, 4)","(4, 4)","(1, 1)",14,7.7
7,"(4, 4)","(4, 4)","(1, 1)",18,7.4
7,"(4, 4)","(4, 4)","(1, 1)",25,8.0
7,"(4, 4)","(4, 4)","(2, 2)",4,9.3
7,"(4, 4)","(4, 4)","(2, 2)",7,10.0
7,"(4, 4)","(4, 4)","(2, 2)",10,9.8
7,"(4, 4)","(4, 4)","(2, 2)",14,10.0
7,"(4, 4)","(4, 4)","(2, 2)",18,9.3
7,"(4, 4)","(4, 4)","(2, 2)",25,10.4
7,"(4, 4)","(4, 4)","(4, 4)",4,7.6
7,"(4, 4)","(4, 4)","(4, 4)",7,7.6
7,"(4, 4)","(4, 4)","(4, 4)",10,7.6
7,"(4, 4)","(4, 4)","(4, 4)",14,7.3
7,"(4, 4)","(4, 4)","(4, 4)",18,7.4
7,"(4, 4)","(4, 4)","(4, 4)",25,7.6
7,"(8, 8)","(1, 1)","(1, 1)",4,10.1
7,"(8, 8)","(1, 1)","(1, 1)",7,11.0
7,"(8, 8)","(1, 1)","(1, 1)",10,10.9
7,"(8, 8)","(1, 1)","(1, 1)",14,10.3
7,"(8, 8)","(1, 1)","(1, 1)",18,9.8
7,"(8, 8)","(1, 1)","(1, 1)",25,9.6
7,"(8, 8)","(1, 1)","(2, 2)",4,11.8
7,"(8, 8)","(1, 1)","(2, 2)",7,13.0
7,"(8, 8)","(1, 1)","(2, 2)",10,12.4
7,"(8, 8)","(1, 1)","(2, 2)",14,12.3
7,"(8, 8)","(1, 1)","(2, 2)",18,11.9
7,"(8, 8)","(1, 1)","(2, 2)",25,12.2
7,"(8, 8)","(1, 1)","(4, 4)",4,11.2
7,"(8, 8)","(1, 1)","(4, 4)",7,11.6
7,"(8, 8)","(1, 1)","(4, 4)",10,10.5
7,"(8, 8)","(1, 1)","(4, 4)",14,10.6
7,"(8, 8)","(1, 1)","(4, 4)",18,9.4
7,"(8, 8)","(1, 1)","(4, 4)",25,9.7
7,"(8, 8)","(1, 1)","(8, 8)",4,8.0
7,"(8, 8)","(1, 1)","(8, 8)",7,7.9
7,"(8, 8)","(1, 1)","(8, 8)",10,7.5
7,"(8, 8)","(1, 1)","(8, 8)",14,8.0
7,"(8, 8)","(1, 1)","(8, 8)",18,8.9
7,"(8, 8)","(1, 1)","(8, 8)",25,9.0
7,"(8, 8)","(2, 2)","(1, 1)",4,9.6
7,"(8, 8)","(2, 2)","(1, 1)",7,10.4
7,"(8, 8)","(2, 2)","(1, 1)",10,10.3
7,"(8, 8)","(2, 2)","(1, 1)",14,9.9
7,"(8, 8)","(2, 2)","(1, 1)",18,9.5
7,"(8, 8)","(2, 2)","(1, 1)",25,9.8
7,"(8, 8)","(2, 2)","(2, 2)",4,11.9
7,"(8, 8)","(2, 2)","(2, 2)",7,12.9
7,"(8, 8)","(2, 2)","(2, 2)",10,12.2
7,"(8, 8)","(2, 2)","(2, 2)",14,12.6
7,"(8, 8)","(2, 2)","(2, 2)",18,12.4
7,"(8, 8)","(2, 2)","(2, 2)",25,12.2
7,"(8, 8)","(2, 2)","(4, 4)",4,11.4
7,"(8, 8)","(2, 2)","(4, 4)",7,11.7
7,"(8, 8)","(2, 2)","(4, 4)",10,11.2
7,"(8, 8)","(2, 2)","(4, 4)",14,10.6
7,"(8, 8)","(2, 2)","(4, 4)",18,10.4
7,"(8, 8)","(2, 2)","(4, 4)",25,9.8
7,"(8, 8)","(2, 2)","(8, 8)",4,8.2
7,"(8, 8)","(2, 2)","(8, 8)",7,7.2
7,"(8, 8)","(2, 2)","(8, 8)",10,7.4
7,"(8, 8)","(2, 2)","(8, 8)",14,8.4
7,"(8, 8)","(2, 2)","(8, 8)",18,8.4
7,"(8, 8)","(2, 2)","(8, 8)",25,8.7
7,"(8, 8)","(4, 4)","(1, 1)",4,9.4
7,"(8, 8)","(4, 4)","(1, 1)",7,9.4
7,"(8, 8)","(4, 4)","(1, 1)",10,9.4
7,"(8, 8)","(4, 4)","(1, 1)",14,9.6
7,"(8, 8)","(4, 4)","(1, 1)",18,8.8
7,"(8, 8)","(4, 4)","(1, 1)",25,9.2
7,"(8, 8)","(4, 4)","(2, 2)",4,12.9
7,"(8, 8)","(4, 4)","(2, 2)",7,13.0
7,"(8, 8)","(4, 4)","(2, 2)",10,12.9
7,"(8, 8)","(4, 4)","(2, 2)",14,12.9
